date        system                         ncpus   MFLOPS     BW        balance
2017  Fujitsu_SPARC_M12-2S             192  6528000.0 191358.1     34.1
2017  Fujitsu_SPARC_M12-2S              96  3264000.0  97248.3     33.6
2017  Fujitsu_SPARC_M12-2               12   374400.0  15968.8     23.4
2016  ScaleMP_Xeon_E5-2680v3_64B      1534 61360000.0 795876.9     77.1
2016  ScaleMP_Xeon_E5-2680v3_63B      1500 60000000.0 777824.9     77.1
2015  HP_ProLiant_SL250                 20   448000.0  11348.0     39.5
2015  Dell_PowerEdge_R630               20   832000.0  13970.0     59.6
2015  Intel_Edison                       1      500.0    149.1      3.4
2015  SGI_UV_3000                     3072 103219200.0 1728273.1     59.7
2015  Intel_XeonPhi_7120                61  1208288.0  22235.4     54.3
2015  Dell_PowerEdge_M610_nta           12   159984.0   5211.0     30.7
2015  Dell_PowerEdge_M610_alloc         12   159984.0   3686.5     43.4
2015  Intel_Xeon_E3-1270_nta             1    27200.0   2266.8     12.0
2015  Intel_Xeon_E3-1270_alloc           1    27200.0   1642.0     16.6
2015  Dell_PowerEdgeR815                32   384000.0  10016.8     38.3
2015  Dell_PowerEdgeR815                32   384000.0  15107.6     25.4
2015  NumaConnect_648node             1296 29030400.0 1108981.2     26.2
2015  RaspberryPi_2B_Fortran             1      594.0     70.5      8.4
2015  RaspberryPi_2B_C                   1      594.0     62.2      9.5
2014  HP_Moonshot_M300                   8    19200.0   1803.8     10.6
2014  HP_Moonshot_M300                   4     9600.0   1936.0      5.0
2014  HP_Moonshot_M300                   1     2400.0    867.0      2.8
2014  Oracle_Sun_Server_X4-4            60  1344000.0  30633.5     43.9
2013  Intel_XeonPhi_SE10P               61  1073600.0  21832.9     49.2
2013  Fujitsu_SPARC_M10-4               64  1433600.0  32391.8     44.3
2013  Fujitsu_SPARC_M10-1               16   358400.0   8114.2     44.2
2013  Oracle_Sun_Server_X4-2L           24   259200.0  10709.0     24.2
2013  Oracle_SPARC_T5-8                128   921600.0  80360.5     11.5
2013  Oracle_SPARC_T5-4                 64   460800.0  40063.2     11.5
2013  Oracle_SPARC_T5-2                 32   230400.0  19377.1     11.9
2013  Oracle_SPARC_T5-1B                16   115200.0   9657.2     11.9
2013  Fujitsu_SPARC_M10-4S             512 12288000.0 258976.1     47.4
2013  Intel_Core_i7-3820_OC              4   160000.0   5643.4     28.4
2013  Intel_Core_i7-3820_OC              1    40000.0   2763.6     14.5
2013  Fujitsu_SPARC_M10-4S              64  1536000.0  32414.1     47.4
2013  Fujitsu_SPARC_M10-4S              16   384000.0   8125.4     47.3
2013  Fujitsu_SPARC_M10-4S            1024 24576000.0 500337.9     49.1
2013  Fujitsu_SPARC_M10-4S             256  6144000.0 127955.4     48.0
2013  Intel_XeonPhi_SE10P               61  1073600.0  20228.6     53.1
2013  Dell_DCS8000                      16   345600.0   9626.2     35.9
2013  Dell_PowerEdge_820                32   345600.0  10422.6     33.2
2012  RaspberryPi                        1      462.0     31.1     14.9
2012  SGI_Altix_UV_2000               2048 44236800.0 892461.2     49.6
2012  Supermicro_X8DAH_XeonE5645         1     9600.0    923.1     10.4
2011  Sun_X4640                         32   281600.0  10905.0     25.8
2011  Supermicro_X8DTN+_Xeon5690        12   166080.0   3523.1     47.1
2011  Intel_Core_i7-2600                 4   108800.0   1722.4     63.2
2011  Intel_Core_i7-2600                 3    81600.0   1749.5     46.6
2011  Intel_Core_i7-2600                 2    54400.0   1770.0     30.7
2011  Intel_Core_i7-2600                 1    27200.0   1765.8     15.4
2011  ScaleMP_Xeon_X5650_64B           768  8171520.0 282463.6     28.9
2011  SGI_Altix_UV_1000               2048 19660800.0 732420.9     26.8
2010  VMC_1200                          24   211200.0   6504.9     32.5
2010  SGI_Altix_UV_1000               2048 18567987.2 548057.6     33.9
2010  Supermicro_H8QGi-F                32   307200.0  13130.9     23.4
2010  SGI_Altix_UV_1000               1024  9283993.6 276589.6     33.6
2010  Tyan-S8230                        24   211200.0   6635.9     31.8
2010  HP_Integrity_BL870c_i2            16   110720.0   6191.6     17.9
2010  IBM_Power_755                     32   844800.0  15170.0     55.7
2010  IBM_Power_750_Express             24   633600.0  15345.8     41.3
2010  HP_Integrity_BL870c                8    50880.0    681.1     74.7
2010  Fujitsu_SPARC_Enterprise_M3000     1    11000.0    637.7     17.2
2009  Apple_Mac_Pro_2009                 1    10666.4   1119.2      9.5
2009  Apple_Mac_Pro_2009                 1    10666.4    883.8     12.1
2009  Fujitsu_SPARC_Enterprise_M9000   128  1474560.0  20576.4     71.7
2009  Fujitsu_SPARC_Enterprise_M8000    16   184320.0  10218.9     18.0
2009  Supermicro_BHQME_Opteron8435_Exp    24   249600.0   3511.9     71.1
2009  Supermicro_BHQME_Opteron8435      24   249600.0   5149.9     48.5
2009  ScaleMP_XeonX5570_vSMP_16B       128  1501849.6  55733.6     26.9
2009  ScaleMP_XeonX5570_vSMP_8B         64   750924.8  33590.2     22.4
2009  Supermicro_X8DTN_Xeon5580          8   102400.0   4635.6     22.1
2009  Supermicro_X8DTi-F_Xeon5530        8    76800.0   3888.4     19.8
2009  AMD_Athlon64X2-5200+               2    10400.0    600.1     17.3
2009  AMD_Athlon64X2-5200+               1     5200.0    301.0     17.3
2009  Generic_Opteron_2352               8    67200.0   1658.2     40.5
2009  Generic_Opteron_2352               1     8400.0    457.4     18.4
2009  Generic_Core2Duo_E6750             2    10640.0    553.8     19.2
2009  Generic_Core2Duo_E6750             1     5320.0    573.4      9.3
2009  ScaleMP_XeonE5472_vSMP           128  1536000.0  17785.0     86.4
2008  Fujitsu_SPARC_Enterprise_M3000     1    10080.0    565.9     17.8
2008  Tyan_GT24_Opteron2360SE            8    80000.0   2167.7     36.9
2008  Core2DuoE8200_2GB_DDR3             1    10666.4    982.9     10.9
2008  Core2DuoE8200_2GB_DDR2             1    10666.4    699.2     15.3
2008  Core2DuoE8200_1GB_DDR2             1    10666.4    645.7     16.5
2008  Core2Duo6850_AsusP5E_1GB           1    12000.0    853.4     14.1
2008  Core2Duo6559_smC2SBE_1GB           1     9333.2    690.7     13.5
2008  IBM_Power_575_RHEL                32   601600.0  19829.9     30.3
2008  MSI_MS-6754                        1     5200.0     73.9     70.4
2008  Dell_PowerEdge1950_III             8    90665.6    743.1    122.0
2008  IBM_Power_575                     32   601600.0  20355.5     29.6
2008  IBM_Power_595                     64  1280000.0 100725.6     12.7
2008  Azul_Vega2_7280                  768    92160.0  11424.3      8.1
2008  AMD_AthlonFX2_4600+                1     4800.0    506.5      9.5
2007  IBM_BladeCenter_JS22_AIX           4    64000.0   1932.1     33.1
2007  IBM_BladeCenter_JS22_Express       4    64000.0   1962.6     32.6
2007  AMD_internal_quadcore              4    32000.0   1938.5     16.5
2007  ASUS_KFSN4-DRE                     4    32000.0   2095.0     15.3
2007  IBM_Power_570                      4    75200.0   3675.5     20.5
2007  Supermicro_X7DBE_Xeon5130          4    32000.0    660.0     48.5
2007  Supermicro_X7DBE_Xeon5130          2    16000.0    650.4     24.6
2007  Supermicro_X7DBE_Xeon5130          1     8000.0    512.5     15.6
2007  Supermicro_PDSMi+_Core2Duo6320     1     7466.4    544.5     13.7
2007  ASUS_P5K-SE_Core2Duo6550           1     9333.2    726.7     12.8
2007  ASUS_P5B_Core2Duo6320              1     7466.4    664.6     11.2
2007  AMD_Quad_FX_FX-72                  4    17600.0   1937.2      9.1
2007  AMD_Quad_FX_FX-72                  1     4400.0    948.5      4.6
2007  Intel_Core2_Quad6600               4    38400.0    664.0     57.8
2007  Intel_Core2_Quad6600               3    28800.0    688.9     41.8
2007  Intel_Core2_Quad6600               2    19200.0    713.9     26.9
2007  Intel_Core2_Quad6600               1     9600.0    722.1     13.3
2007  Sun_SPARC_Enterprise_M9000        64   550400.0  16796.1     32.8
2007  Sun_SPARC_Enterprise_M9000       128  1100800.0  28382.4     38.8
2007  Sun_SPARC_Enterprise_M8000        32   275200.0   8703.7     31.6
2007  Sun_SPARC_Enterprise_M5000        16   137600.0   3161.5     43.5
2007  Sun_SPARC_Enterprise_M4000         8    68800.0   1588.7     43.3
2007  Fujitsu_SPARC_Enterprise_M9000   128  1228800.0  28382.4     43.3
2007  Fujitsu_SPARC_Enterprise_M9000    64   614400.0  16796.1     36.6
2007  Fujitsu_SPARC_Enterprise_M8000    32   307200.0   8703.7     35.3
2007  Fujitsu_SPARC_Enterprise_M5000    16   137600.0   3161.5     43.5
2007  Fujitsu_SPARC_Enterprise_M4000     8    68800.0   1588.7     43.3
2007  Tyan-S2915                         4    24000.0   1762.2     13.6
2007  Tyan-S2915                         1     6000.0    884.8      6.8
2007  HP_Integrity_BL860c                1     6400.0    701.4      9.1
2007  HP_Integrity_rx2660                1     6400.0    699.4      9.2
2007  Tyan-S2915                         4    22400.0   1611.1     13.9
2007  Apple_MacBook_Pro                  1     8664.0    376.1     23.0
2006  Apple_PwrMac_G5_dc                 1    10000.0    412.6     24.2
2006  HP_Integrity_rx6600                1     6400.0    700.6      9.1
2006  HP_Integrity_rx3600                1     6400.0    697.9      9.2
2006  HP_Integrity_rx8640_dc            32   204800.0   5348.2     38.3
2006  HP_Integrity_rx8640_dc            16   102400.0   2673.9     38.3
2006  HP_Integrity_rx7640_dc             8    51200.0   1336.6     38.3
2006  HP_Integrity_rx7640_dc            16   102400.0   2679.0     38.2
2006  Intel_D975XBX                      1     6800.0    483.8     14.1
2006  eMachines_T3506                    1     6400.0    146.3     43.7
2006  IBM_System_p5_550                  4    33600.0   2590.2     13.0
2006  IBM_System_p5_550Q                 8    52800.0   2438.6     21.7
2006  IBM_System_p5_595                 64   588800.0  25780.4     22.8
2006  HP_Integrity_SuperDome_dc         64   409600.0  10724.0     38.2
2006  HP_Integrity_SuperDome_dc         32   204800.0   5365.2     38.2
2006  HP_Integrity_SuperDome_dc        128   819200.0  21354.1     38.4
2006  SGI_Altix_4700                  1024  6553600.0 543770.8     12.1
2006  Compaq_Armada_1700                 1      233.0     22.0     10.6
2006  HP_Integrity_rx8640                8    51200.0   2033.9     25.2
2006  HP_Integrity_rx8640               16   102400.0   4059.0     25.2
2006  HP_Integrity_rx7640                8    51200.0   2034.9     25.2
2006  HP_Integrity_rx7640                4    25600.0   1017.8     25.2
2006  HP_Integrity_SuperDome            64   409600.0  16085.8     25.5
2006  HP_Integrity_SuperDome            32   204800.0   8089.4     25.3
2006  HP_Integrity_SuperDome            16   102400.0   4050.9     25.3
2006  MSI_K8n_Neo2_Athlon64              1     4420.0    374.6     11.8
2006  IBM_System_p5_560Q                16    96000.0   4869.2     19.7
2006  IBM_System_p5_560Q                16    96000.0   5097.1     18.8
2006  IBM_System_p5-575                  8    70400.0  12040.9      5.8
2006  IBM_System_p5-575                  8    70400.0  12565.4      5.6
2006  IBM_System_p5-575                 16   121600.0  10757.8     11.3
2006  IBM_System_p5-575                 16   121600.0  10797.4     11.3
2006  IBM_BladeCenter_JS21               2    21600.0    815.1     26.5
2005  IBM_System_p5-550Q                 8    48000.0   2344.5     20.5
2005  IBM_System_p5-550Q                 8    48000.0   2166.4     22.2
2005  IBM_System_p5-550                  4    30400.0   2550.4     11.9
2005  IBM_System_p5-550                  4    30400.0   2380.5     12.8
2005  IBM_System_p5-520                  2    15200.0   1289.9     11.8
2005  IBM_System_p5-520                  2    15200.0   1209.0     12.6
2005  IBM_System_p5-505                  2    13200.0   1126.5     11.7
2005  IBM_System_p5-505                  2    13200.0    956.6     13.8
2005  HP_ProLiant_DL585                  4    22400.0   2298.4      9.7
2005  HP_ProLiant_DL385                  2    11200.0   1215.1      9.2
2005  HP_ProLiant_BL45p                  4    22400.0   2336.2      9.6
2005  HP_ProLiant_BL25p                  2    11200.0   1187.4      9.4
2005  HP_ProLiant_DL585                  8    38400.0   2063.5     18.6
2005  HP_ProLiant_BL45p                  8    38400.0   2223.2     17.3
2005  HP_ProLiant_DL380_G4               1     7600.0    506.2     15.0
2005  HP_ProLiant_DL360_G4p              1     7600.0    505.8     15.0
2005  HP_ProLiant_DL140G2                1     7600.0    500.6     15.2
2005  HP_ProLiant_BL20pG3                1     7600.0    487.5     15.6
2005  HP_ProLiant_ML350_G4p              1     7200.0    496.1     14.5
2005  HP_ProLiant_DL140G2                1     7200.0    489.4     14.7
2005  HP_ProLiant_BL20pG3                1     7200.0    486.8     14.8
2005  IBM_eServer_p5-575                16    96000.0   6983.9     13.7
2005  IBM_eServer_p5-575                16    96000.0   5329.0     18.0
2005  Rackable_C2004                     1     6000.0    406.8     14.8
2005  HP_ProLiant_DL585                  8    35200.0   2032.0     17.3
2005  HP_ProLiant_BL45p                  8    35200.0   2011.2     17.5
2005  HP_ProLiant_DL585                  4    20800.0   2154.2      9.7
2005  HP_ProLiant_BL45p                  4    20800.0   2165.2      9.6
2005  Tyan-2882_K8S                      1     4000.0    542.5      7.4
2005  ASUS_Athlon64_K8Vdeluxe            1     4800.0    265.8     18.1
2005  IBM_eServer_p5-550_Express         4    24000.0   1124.8     21.3
2005  IBM_eServer_p5-550_Express         4    24000.0    976.9     24.6
2005  IBM_eServer_p5-575                 8    60800.0   6966.6      8.7
2005  IBM_eServer_p5-575                 8    60800.0   5198.1     11.7
2005  HP_ProLiant_ML370                  1     7200.0    447.2     16.1
2005  HP_ProLiant_DL585                  4    20800.0   1820.4     11.4
2005  HP_ProLiant_DL385                  2    10400.0   1030.9     10.1
2005  HP_ProLiant_BL35p                  2     9600.0   1132.8      8.5
2005  HP_ProLiant_BL25p                  2    10400.0   1083.9      9.6
2005  IBM_eServer_OpenPower_710          2    13200.0    553.4     23.9
2005  IBM_eServer_OpenPower_710          2    13200.0    493.6     26.7
2005  ASUS_SK8N_Opteron248               1     4400.0    585.2      7.5
2005  AMD_Opteron_848                    4    17600.0   1990.1      8.8
2005  AMD_Opteron_848                    2     8800.0   1082.6      8.1
2005  AMD_Opteron_848                    1     4400.0    550.2      8.0
2005  HP_ProLiant_BL30p                  1     6400.0    251.8     25.4
2005  Apple_PwrMac_G5                    1    10000.0    276.9     36.1
2004  SGI_Altix_3700_Bx2               512  3276800.0 139989.1     23.4
2004  HP_ProLiant_DL145                  2     9600.0    691.8     13.9
2004  HP_ProLiant_DL585                  4    19200.0   1404.1     13.7
2004  ASUS_A7N8X-E                       1     4334.0    201.6     21.5
2004  HP_ProLiant_BL20pG3                1     7200.0    465.5     15.5
2004  HP_ProLiant_DL360G4                1     7200.0    428.2     16.8
2004  HP_Integrity_rx4640                1     6400.0    492.4     13.0
2004  HP_Integrity_rx2620                1     6400.0    504.2     12.7
2004  HP_Integrity_rx1620                1     6400.0    628.9     10.2
2004  IBM_eServer_p5-595                64   486400.0  21820.9     22.3
2004  IBM_eServer_p5-595                64   486400.0  21695.5     22.4
2004  Sun_SunFire_V210                   1     2000.0    113.1     17.7
2004  IBM_eServer_p5-550_Express         4    24000.0   1157.5     20.7
2004  IBM_eServer_p5-550_Express         4    24000.0   1051.9     22.8
2004  IBM_eServer_p5-520_Express         2    12000.0    670.0     17.9
2004  IBM_eServer_p5-520_Express         2    12000.0    608.0     19.7
2004  IBM_eServer_OpenPower_720          4    26400.0   1100.2     24.0
2004  IBM_eServer_OpenPower_720          4    26400.0    941.5     28.0
2004  HP_AlphaServer_GS1280-1300        64   166400.0  53931.2      3.1
2004  ASUS_SK8N_Opteron248               1     4400.0    557.2      7.9
